User Id,Username,Comment Text,Date,sentiment,predicted_emotion
264726505,1drinstar,I’ll be there proudly wearing my Endless Summer T Shirt. 😀,2019-09-10 14:59,positive,excitement
631811484,therisingmusic, Yes. That's epic. We want one of them ourselves too.,2019-09-10 16:49,positive,desire
334515373,chantellemcateer,🙌🙌🙌,2019-09-13 10:07,positive,neutral
3295864603,freshmindtheband,Wow crazy how some things last,2019-09-14 18:21,neutral,surprise
8778124221,samariaustin,Your page nice ⭐️DM Me‼️Let’s Connect 📲,2019-09-16 22:37,positive,admiration
6735731492,stayeasy_122,That hits my soul 🔥,2019-10-09 09:55,negative,sadness
6735731492,stayeasy_122,That hits my soul 🔥,2019-10-09 09:55,positive,sadness
8149951133,____winthers___,Yep. Decent demo would be great🎸,2019-10-10 15:22,positive,admiration
8149951133,____winthers___,Yep. Decent demo would be great🎸,2019-10-10 15:22,positive,admiration
18424855591,homegrownmusician,Pro tools ftw,2019-10-11 21:24,positive,neutral
4639357913,papagyete,I am 👆,2019-10-12 00:01,positive,neutral
616856751,jet161179,I met the band last year at Glasgow Airport after their UK tour. Such nice guys x,2019-10-13 10:31,positive,admiration
631811484,therisingmusic, Yes. He was so nice. Joking about how nobody ever recognises the Bass Player.,2019-10-13 19:34,positive,amusement
616856751,jet161179, where did you spot him?,2019-10-13 20:15,positive,curiosity
2266158433,brendinfarrismusic,Can you follow me cause I’m showing That people with autism like me who have disability you have any big career in life like others people do!!,2019-10-23 17:28,positive,neutral
631811484,therisingmusic, Yes of course.. done. Keep pushing forward with your dream regardless of what anyone says.,2019-10-23 18:24,positive,approval
1930697856,freyaewing18,I’m annoyed I’m in London I’ll miss it :(,2019-10-24 09:18,positive,annoyance
631811484,therisingmusic,._.17 next saturday😉😉,2019-10-24 09:40,positive,neutral
6735731492,stayeasy_122,I need a camera like that so badly!,2019-10-24 23:21,neutral,desire
631811484,therisingmusic, Yeah.. we would love one of our own too,2019-10-27 01:18,neutral,love
6278564259,aok.1701,Ooohh 🔥,2019-10-29 08:12,positive,neutral
631811484,therisingmusic,.1701 Rock n Roll 🤘,2019-10-29 13:49,positive,neutral
4165279441,areaone.music,Awesome! Would you like to visit the link in my bio?🎶,2019-10-30 20:08,positive,admiration
18424855591,homegrownmusician,I wish I had a kemper 😭 want to lend me yours?,2019-10-31 19:09,positive,desire
17532669014,4most12_beats,ayy you fr got some fire.. I make beats and you'd be a perfect fit on my stuff.. please shout me a dm lets speak 💯,2019-11-01 14:07,neutral,approval
18478125,rayventyler,🙏🏾🙏🏾,2019-11-01 14:20,positive,approval
2894477039,tayto_ni,👍Good Luck guys! #notbiased 💛,2019-11-01 16:16,positive,admiration
6735731492,stayeasy_122,You two are amazing and I wish you the best of luck 🙏,2019-11-01 17:43,positive,admiration
631811484,therisingmusic, Thanks so much. Really appreciate that 😀,2019-11-01 20:46,positive,gratitude
631811484,therisingmusic, love it. We need to write a theme tune you guys 😉,2019-11-01 20:47,positive,love
1986899904,cineworldbelfast,Fantastic guys well done 🎉Hope you had a great time. 😊,2019-11-02 19:04,positive,admiration
631811484,therisingmusic, Thanks Guys. We sure did. We will see you guys shortly 😀,2019-11-03 00:00,positive,gratitude
7553642574,mickout87,Done ✔,2019-11-03 16:54,positive,neutral
631811484,therisingmusic, Thanks so much. We appreciate you taking the time out.,2019-11-03 17:14,positive,gratitude
1286960596,andyholdcroft,Sorry to hear that,2019-11-04 15:59,positive,remorse
8613067064,jpkennedy50,You and  were great. You both deserved to win 😊,2019-11-04 16:13,positive,admiration
631811484,therisingmusic, Yeah. It sucks. But onwards and upwards.,2019-11-04 21:51,positive,annoyance
631811484,therisingmusic, Yeah. Pretty bummed about it,2019-11-04 21:51,positive,disappointment
631811484,therisingmusic, 😎😎,2019-11-07 21:17,positive,amusement
11605636940,mirouah_oussama,Gorgeous 💫🌸 Message us we would like to collab with you.❤,2019-11-25 22:35,positive,admiration
4884923154,sylviaraemusic,"If y’all are ever in Nashville, TN let me know! Would love to catch a show!",2019-11-26 02:06,negative,love
4884923154,sylviaraemusic,"If y’all are ever in Nashville, TN let me know! Would love to catch a show!",2019-11-26 02:06,positive,love
631811484,therisingmusic, We are trying to get over there as we speak. Trying to sort out shows. We should co-write sometime,2019-11-26 09:11,negative,neutral
631811484,therisingmusic, We are trying to get over there as we speak. Trying to sort out shows. We should co-write sometime,2019-11-26 09:11,positive,neutral
4884923154,sylviaraemusic, definitely!! if you need help planning some shows just LMK & I’ll see if I can help 😁,2019-11-26 15:42,positive,optimism
4884923154,sylviaraemusic, definitely!! if you need help planning some shows just LMK & I’ll see if I can help 😁,2019-11-26 15:42,positive,optimism
1806644259,musicgurl86,*curious* Can't wait for the reveal!,2019-11-27 20:50,positive,curiosity
631811484,therisingmusic, coming this week 😎,2019-11-29 23:19,positive,neutral
1806644259,musicgurl86, Yay!,2019-11-29 23:56,positive,excitement
1806644259,musicgurl86,My sister called her second hamster Gizmo!,2019-12-07 22:05,positive,neutral
4909010938,pat.ricks.official,👍🎶🎶🎶👏✨😊,2019-12-09 14:35,neutral,approval
4909010938,pat.ricks.official,👍🎶🎶🎶👏✨😊,2019-12-09 14:35,neutral,approval
3006039456,robert.sparrow,Happy weekend festival party next week but got a lot more Christmas parties to cook for two more weeks chefs life,2019-12-13 21:57,positive,excitement
5856530596,suelockett22,Fab picture Chantelle!💕,2019-12-14 09:39,positive,admiration
1286960596,andyholdcroft,Review in  at http://www.hotmusiclive.co.uk/article?article=12490,2019-12-22 19:21,neutral,neutral
5701761538,karmamuted,That Christmas tree is really pretty wow,2019-12-25 12:40,positive,admiration
5701761538,karmamuted,That Christmas tree is really pretty wow,2019-12-25 12:40,neutral,admiration
1994927589,rosewoodavemusic,Beautiful! 💕,2020-01-03 00:22,positive,admiration
1994927589,rosewoodavemusic,Beautiful! 💕,2020-01-03 00:22,positive,admiration
27638645437,dumbblondecountrymusicuk,Hey! I’ve just made a country music blog and I’ve love for u to follow it! Hopefully see u on there!  xx,2020-01-04 10:04,positive,love
631811484,therisingmusic, Epic... we have followed you and we cant wait to follow your content 😀,2020-01-04 14:35,positive,excitement
27638645437,dumbblondecountrymusicuk,Love it! Tapping my feet straight away! Xx,2020-01-04 15:54,positive,love
27638645437,dumbblondecountrymusicuk," thanks guys!!! So excited to put my content out there! I am such a big country fan! Can’t wait to listen to your music, thanks so much for the follow 😍 xxx",2020-01-04 15:54,positive,gratitude
1524491624,_____projectx_____,Interested in a promo video?,2020-01-20 18:31,neutral,curiosity
1806644259,musicgurl86,Consider me curious!,2020-01-26 18:22,negative,curiosity
2143104855,aadijain143,DM link,2020-02-06 21:41,positive,neutral
1286960596,andyholdcroft,Just read the email. How exciting,2020-02-08 14:04,positive,excitement
1286960596,andyholdcroft,Just read the email. How exciting,2020-02-08 14:04,positive,excitement
5459378676,laraleymusic,Love this! 😊🎶,2020-02-16 12:26,positive,love
5459378676,laraleymusic,Just followed your Spotify! 👌 Great stuff!,2020-02-16 12:31,negative,admiration
631811484,therisingmusic, Thanks so much. We will give you a follow back on Spotify too.,2020-02-16 13:01,positive,gratitude
5459378676,laraleymusic, 😍 Thank you! You are awesome! 😊🤘,2020-02-16 13:05,positive,gratitude
13219481892,talentt.worldd,Great ✅ DM us to get featured on our profile 🎤❤️,2020-02-20 20:37,positive,admiration
237373167,sionan__,❤️❤️,2020-02-25 22:43,positive,love
1262110610,musicotfuture,🔥🔥🔥🔥🎶🎶🎶,2020-02-25 22:50,positive,approval
350410605,wookalily,❤️,2020-02-25 23:49,positive,love
7068224547,tommyatkinsmusic,👏,2020-02-26 10:56,positive,neutral
27044959239,craiggouldmusic,"Well said guys. I personally don't think being on a label has the draw that it used to have, as you say, times have moved on now and artists have the ability to do so much themselves. Independent and proud 💪🏼",2020-02-26 11:32,positive,admiration
631811484,therisingmusic," Absolutely. But allot of artists wait around for that magic label. Being on a label has financial pull that very few independents can compete with. However, there is still an awful lot you can do if your willing to sacrifice.",2020-02-26 12:51,positive,approval
631811484,therisingmusic, Thank You. We felt that this had to be said.,2020-02-26 12:53,neutral,gratitude
631811484,therisingmusic, Thank You. Hopefully you dont face this when dealing with people who insist in calling you an unsigned artist.,2020-02-26 12:53,positive,gratitude
631811484,therisingmusic, Thanks. Hopefully you dont come across this.,2020-02-26 12:55,positive,gratitude
631811484,therisingmusic," Thanks. It really is a major annoyance when people refer to you as unsigned like your worth less than a """"signed"""" artist. Most artists these days can do so much that a label is not what it once was.",2020-02-26 12:55,neutral,annoyance
350410605,wookalily, it's a bit better than the UK'S Best Part-time Band. Lol,2020-02-26 12:59,positive,amusement
631811484,therisingmusic, haha yes. I was raging at the title of that programme when I saw it.,2020-02-26 13:16,positive,approval
